:START_ID(Transaction),:END_ID(Company),:TYPE
20328,CCF,FOR_COMPANY
20329,CCF,FOR_COMPANY
20330,CCF,FOR_COMPANY
20331,CCF,FOR_COMPANY
20332,AMKR,FOR_COMPANY
20333,BMTC,FOR_COMPANY
20334,OLLI,FOR_COMPANY
20335,OLLI,FOR_COMPANY
20336,GOOG,FOR_COMPANY
20337,GOOG,FOR_COMPANY
20338,GOOG,FOR_COMPANY
20339,GOOG,FOR_COMPANY
20340,GOOG,FOR_COMPANY
20341,GOOG,FOR_COMPANY
20342,SEIC,FOR_COMPANY
20343,SEIC,FOR_COMPANY
20344,ENR,FOR_COMPANY
20345,CPSX,FOR_COMPANY
20346,ENR,FOR_COMPANY
20347,PBCT,FOR_COMPANY
20348,ENR,FOR_COMPANY
20349,(BHL),FOR_COMPANY
20350,(BHL),FOR_COMPANY
20351,HLIT,FOR_COMPANY
20352,ESSA,FOR_COMPANY
20353,NCR,FOR_COMPANY
20354,NCR,FOR_COMPANY
20355,ABCO,FOR_COMPANY
20356,BANR,FOR_COMPANY
20357,CRE,FOR_COMPANY
20358,CRE,FOR_COMPANY
20359,CRE,FOR_COMPANY
20360,HII,FOR_COMPANY
20361,MYSK,FOR_COMPANY
20362,MYSK,FOR_COMPANY
20363,BANR,FOR_COMPANY
20364,GVA,FOR_COMPANY
20365,WHX,FOR_COMPANY
20366,JCOM,FOR_COMPANY
20367,HSKA,FOR_COMPANY
20368,HSKA,FOR_COMPANY
20369,HSKA,FOR_COMPANY
20370,BANR,FOR_COMPANY
20371,BGG,FOR_COMPANY
20372,BGG,FOR_COMPANY
20373,EXH,FOR_COMPANY
20374,EXH,FOR_COMPANY
20375,OTTW,FOR_COMPANY
20376,OTTW,FOR_COMPANY
20377,BANR,FOR_COMPANY
20378,SIVB,FOR_COMPANY
20379,CHD,FOR_COMPANY
20380,VBTX,FOR_COMPANY
20381,ORCL,FOR_COMPANY
20382,CIK,FOR_COMPANY
20383,BANR,FOR_COMPANY
20384,ISIS,FOR_COMPANY
20385,FSD,FOR_COMPANY
20386,MSM,FOR_COMPANY
20387,PLAY,FOR_COMPANY
20388,GLBZ,FOR_COMPANY
20389,GBCI,FOR_COMPANY
20390,PCTI,FOR_COMPANY
20391,LEG,FOR_COMPANY
20392,SPH,FOR_COMPANY
20393,SFE,FOR_COMPANY
20394,ARW,FOR_COMPANY
20395,BANR,FOR_COMPANY
20396,PFBI,FOR_COMPANY
20397,PFBI,FOR_COMPANY
20398,ARW,FOR_COMPANY
20399,PFIS,FOR_COMPANY
20400,ADNT,FOR_COMPANY
20401,SNI,FOR_COMPANY
20402,GAMPR,FOR_COMPANY
20403,GAMPR,FOR_COMPANY
20404,LEG,FOR_COMPANY
20405,SPH,FOR_COMPANY
20406,FNC,FOR_COMPANY
20407,FON,FOR_COMPANY
20408,FON,FOR_COMPANY
20409,CHD,FOR_COMPANY
20410,ARQL,FOR_COMPANY
20411,MNRTA,FOR_COMPANY
20412,GGG,FOR_COMPANY
20413,GER,FOR_COMPANY
20414,RLI,FOR_COMPANY
20415,RLI,FOR_COMPANY
20416,SEIC,FOR_COMPANY
20417,SEIC,FOR_COMPANY
20418,CDI,FOR_COMPANY
20419,OCIR,FOR_COMPANY
20420,CTF,FOR_COMPANY
20421,WBC,FOR_COMPANY
20422,BEAV,FOR_COMPANY
20423,SWFT,FOR_COMPANY
20424,ABFS,FOR_COMPANY
