:START_ID(Transaction),:END_ID(Company),:TYPE
333,YUMC,FOR_COMPANY
334,HAL,FOR_COMPANY
335,FLR,FOR_COMPANY
336,YUMC,FOR_COMPANY
337,FLR,FOR_COMPANY
338,YUMC,FOR_COMPANY
339,YUMC,FOR_COMPANY
340,FLR,FOR_COMPANY
341,YUMC,FOR_COMPANY
342,YUMC,FOR_COMPANY
343,YUMC,FOR_COMPANY
344,FLR,FOR_COMPANY
345,YUMC,FOR_COMPANY
346,YUMC,FOR_COMPANY
347,YUMC,FOR_COMPANY
348,CDIS,FOR_COMPANY
349,CDIS,FOR_COMPANY
350,CDIS,FOR_COMPANY
351,WFBI,FOR_COMPANY
352,CASH,FOR_COMPANY
353,CASH,FOR_COMPANY
354,APOG,FOR_COMPANY
355,TDS,FOR_COMPANY
356,GB,FOR_COMPANY
357,GB,FOR_COMPANY
358,VPRT,FOR_COMPANY
359,CZNC.OB,FOR_COMPANY
360,CZNC.OB,FOR_COMPANY
361,CZNC.OB,FOR_COMPANY
362,CZNC.OB,FOR_COMPANY
363,CZNC.OB,FOR_COMPANY
364,CZNC.OB,FOR_COMPANY
365,CZNC.OB,FOR_COMPANY
366,CZNC.OB,FOR_COMPANY
367,CZNC.OB,FOR_COMPANY
368,FMNB.OB,FOR_COMPANY
369,FMNB.OB,FOR_COMPANY
370,FMNB.OB,FOR_COMPANY
371,SGA,FOR_COMPANY
372,FMNB.OB,FOR_COMPANY
373,FMNB.OB,FOR_COMPANY
374,SGA,FOR_COMPANY
375,FMNB.OB,FOR_COMPANY
376,CAC,FOR_COMPANY
377,CAC,FOR_COMPANY
378,CAC,FOR_COMPANY
379,HDRA,FOR_COMPANY
380,FMNB.OB,FOR_COMPANY
381,BLDR,FOR_COMPANY
382,BPHX,FOR_COMPANY
383,BLDR,FOR_COMPANY
384,CAG,FOR_COMPANY
385,BLDR,FOR_COMPANY
386,BLDR,FOR_COMPANY
387,BLKB,FOR_COMPANY
388,BLKB,FOR_COMPANY
389,PLAB,FOR_COMPANY
390,BLKB,FOR_COMPANY
391,BLKB,FOR_COMPANY
392,BLKB,FOR_COMPANY
393,PLAB,FOR_COMPANY
394,CNDT,FOR_COMPANY
395,MB,FOR_COMPANY
396,KOS,FOR_COMPANY
397,KOS,FOR_COMPANY
398,KOS,FOR_COMPANY
399,KOS,FOR_COMPANY
400,FOLD,FOR_COMPANY
401,KOS,FOR_COMPANY
402,CNDT,FOR_COMPANY
403,MMI,FOR_COMPANY
404,KOS,FOR_COMPANY
405,PNR,FOR_COMPANY
406,KOS,FOR_COMPANY
407,KOS,FOR_COMPANY
408,PNR,FOR_COMPANY
409,NPTN,FOR_COMPANY
410,FTI,FOR_COMPANY
